,Importance,Feature
0,0.04610000178217888,ultrasound
1,0.03180000185966492,heart
2,0.02850000001490116,ray
3,0.025599999353289604,blood
4,0.025299999862909317,minutes
5,0.022600000724196434,scan
6,0.022099999710917473,imaging
7,0.02070000022649765,10
8,0.019899999722838402,vaccine
9,0.017500000074505806,test
10,0.015599999576807022,views
11,0.014000000432133675,joint
12,0.013700000010430813,level
13,0.012900000438094139,care
14,0.01209999993443489,chest
15,0.01209999993443489,accessed
16,0.011900000274181366,anesthesia
17,0.011599999852478504,guidance
18,0.011599999852478504,artery
19,0.010999999940395355,report
20,0.010499999858438969,15
21,0.010200000368058681,study
22,0.010200000368058681,endoscope
23,0.010200000368058681,analysis
24,0.009999999776482582,virus
25,0.009999999776482582,day
26,0.009700000286102295,abdomen
27,0.00860000029206276,measurement
28,0.008299999870359898,plan
29,0.008100000210106373,office
30,0.007799999788403511,color
31,0.007499999832361937,computer
32,0.007300000172108412,new
33,0.007300000172108412,diagnostic
34,0.007300000172108412,aorta
35,0.0066999997943639755,shoulder
36,0.006500000134110451,observation
37,0.006500000134110451,insertion
38,0.006500000134110451,activity
39,0.006200000178068876,bone
40,0.005900000222027302,injection
41,0.005900000222027302,ekg
42,0.00570000009611249,vein
43,0.00570000009611249,knee
44,0.005400000140070915,lead
45,0.005400000140070915,arm
46,0.005100000184029341,removal
47,0.005100000184029341,department
48,0.004800000227987766,therapy
49,0.004800000227987766,eye
50,0.004600000102072954,radiation
51,0.004600000102072954,prevention
52,0.004600000102072954,older
53,0.004600000102072954,including
54,0.004600000102072954,face
55,0.004600000102072954,digital
56,0.004600000102072954,cell
57,0.004600000102072954,breasts
58,0.004600000102072954,30
59,0.00430000014603138,upper
60,0.00430000014603138,skin
61,0.00430000014603138,mammography
62,0.00430000014603138,dual
63,0.00430000014603138,bypass
64,0.004000000189989805,regadenoson
65,0.004000000189989805,mg
66,0.004000000189989805,lung
67,0.004000000189989805,examination
68,0.004000000189989805,coronary
69,0.004000000189989805,articular
70,0.004000000189989805,acetate
71,0.003800000064074993,nursing
72,0.003800000064074993,needle
73,0.003800000064074993,electrical
74,0.003800000064074993,centimeters
75,0.003800000064074993,asymptomatic
76,0.003800000064074993,arms
77,0.003800000064074993,annual
78,0.0035000001080334187,pneumococcal
79,0.0035000001080334187,pacemaker
80,0.0035000001080334187,intramuscular
81,0.0035000001080334187,catheter
82,0.0031999999191612005,physical
83,0.0031999999191612005,lens
84,0.0031999999191612005,initial
85,0.0031999999191612005,evaluation
86,0.003000000026077032,tendon
87,0.003000000026077032,equal
88,0.003000000026077032,dose
89,0.003000000026077032,discharge
90,0.003000000026077032,automated
91,0.003000000026077032,arteries
92,0.0027000000700354576,using
93,0.0027000000700354576,tissue
94,0.0027000000700354576,spinal
95,0.0027000000700354576,relocation
96,0.0027000000700354576,procedure
97,0.0027000000700354576,nerve
98,0.0027000000700354576,kidney
99,0.0027000000700354576,infusion
100,0.0027000000700354576,hospital
101,0.0027000000700354576,hemoglobin
102,0.0027000000700354576,established
103,0.0027000000700354576,ct
104,0.0027000000700354576,12
105,0.002400000113993883,medicine
106,0.002400000113993883,manual
107,0.002400000113993883,interpretation
108,0.002400000113993883,inpatient
109,0.002400000113993883,growth
110,0.002400000113993883,corneal
111,0.002400000113993883,assistance
112,0.002400000113993883,abdominal
113,0.002400000113993883,99m
114,0.002199999988079071,urinalysis
115,0.002199999988079071,specimen
116,0.002199999988079071,single
117,0.002199999988079071,short
118,0.002199999988079071,physician
119,0.002199999988079071,leg
120,0.002199999988079071,inside
121,0.002199999988079071,hip
122,0.002199999988079071,head
123,0.002199999988079071,electrodes
124,0.002199999988079071,denosumab
125,0.002199999988079071,balloon
126,0.0019000000320374966,visit
127,0.0019000000320374966,view
128,0.0019000000320374966,time
129,0.0019000000320374966,release
130,0.0019000000320374966,microspheres
131,0.0019000000320374966,microalbumin
132,0.0019000000320374966,manipulation
133,0.0019000000320374966,laser
134,0.0019000000320374966,fluzone
135,0.0019000000320374966,depot
136,0.0019000000320374966,central
137,0.0019000000320374966,broken
138,0.0019000000320374966,bladder
139,0.0019000000320374966,assisted
140,0.0019000000320374966,administration
141,0.0019000000320374966,60
142,0.0015999999595806003,vitamin
143,0.0015999999595806003,tracing
144,0.0015999999595806003,therapeutic
145,0.0015999999595806003,spine
146,0.0015999999595806003,smear
147,0.0015999999595806003,services
148,0.0015999999595806003,retina
149,0.0015999999595806003,radiological
150,0.0015999999595806003,pap
151,0.0015999999595806003,ml
152,0.0015999999595806003,injections
153,0.0015999999595806003,hormone
154,0.0015999999595806003,fusion
155,0.0015999999595806003,function
156,0.0015999999595806003,concentration
157,0.0015999999595806003,collection
158,0.0015999999595806003,bones
159,0.0015999999595806003,assist
160,0.0015999999595806003,aspirate
161,0.0015999999595806003,arterial
162,0.0015999999595806003,21
163,0.0013000000035390258,wrist
164,0.0013000000035390258,urine
165,0.0013000000035390258,rectum
166,0.0013000000035390258,pulmonary
167,0.0013000000035390258,living
168,0.0013000000035390258,im
169,0.0013000000035390258,hyalgan
170,0.0013000000035390258,hour
171,0.0013000000035390258,flulaval
172,0.0013000000035390258,electrocardiogram
173,0.0013000000035390258,ear
174,0.0013000000035390258,diagnosis
175,0.0013000000035390258,destruction
176,0.0013000000035390258,complexity
177,0.0013000000035390258,chamber
178,0.0013000000035390258,capacity
179,0.0013000000035390258,aspiration
180,0.0013000000035390258,areas
181,0.0010999999940395355,triamcinolone
182,0.0010999999940395355,temporary
183,0.0010999999940395355,sodium
